language	comparison	file1	file2	criterion	n_examples	spearman_r	spearman_p	mean_a	mean_b	exact_agreement	adjacent_agreement	quadratic_CohenK	ICC_2_1_absolute
Basque	human_1_vs_human_2	Manual_evaluation_Basque_1.xlsx	Manual_evaluation_Basque_2.xlsx	Adequacy	30	0.89	0.0	2.37	2.13	0.633	1.0	0.881	0.884
Basque	human_1_vs_human_2	Manual_evaluation_Basque_1.xlsx	Manual_evaluation_Basque_2.xlsx	Fluency	30	0.441	0.0148	3.23	4.4	0.233	0.667	0.207	0.212
Basque	human_1_vs_human_2	Manual_evaluation_Basque_1.xlsx	Manual_evaluation_Basque_2.xlsx	General_Quality	30	0.813	0.0	2.43	2.13	0.633	0.933	0.781	0.786
Basque	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Basque.tsv	Manual_evaluation_Basque_1.xlsx	Adequacy	30	0.607	0.0004	2.83	2.37	0.3	0.833	0.559	0.568
Basque	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Basque.tsv	Manual_evaluation_Basque_1.xlsx	Fluency	30	0.212	0.2597	2.67	3.23	0.367	0.8	0.19	0.195
Basque	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Basque.tsv	Manual_evaluation_Basque_1.xlsx	General_Quality	30	0.605	0.0004	2.9	2.43	0.467	0.867	0.538	0.546
Basque	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Basque.tsv	Manual_evaluation_Basque_2.xlsx	Adequacy	30	0.678	0.0	2.83	2.13	0.267	0.867	0.568	0.577
Basque	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Basque.tsv	Manual_evaluation_Basque_2.xlsx	Fluency	30	0.126	0.5084	2.67	4.4	0.067	0.367	0.032	0.033
Basque	model_vs_human_2	LAAJ_gemma3-4b-it-qat_Basque.tsv	Manual_evaluation_Basque_2.xlsx	General_Quality	30	0.567	0.0011	2.9	2.13	0.267	0.8	0.406	0.415
Croatian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Croatian.tsv	Manual_evaluation_Croatian_1.xlsx	Adequacy	30	0.777	0.0	3.33	3.2	0.233	0.833	0.688	0.696
Croatian	model_vs_human_1	LAAJ_gemma3-4b-it-qat_Croatian.tsv	Manual_evaluation_Croatian_1.xlsx	Fluency	30	0.189	0.3163	2.8	4.83	0.167	0.3	0.035	0.036
